,clock,defense,defense_score,distance,home,offense,offense_score,period,surrender_index,yard_line
0,"{'minutes': 10, 'seconds': 48}",Washington,35,6,Washington,Eastern Washington,7,3,1407.764954274598,20
1,"{'minutes': 5, 'seconds': 37}",Washington,45,9,Washington,Eastern Washington,14,4,714.7467421084829,26
2,"{'minutes': 14, 'seconds': 47}",Michigan,10,9,Michigan,Iowa,3,4,206.49647676133193,39
3,"{'minutes': 14, 'seconds': 5}",Washington,0,14,Washington,Eastern Washington,0,1,204.9348842471344,21
4,"{'minutes': 7, 'seconds': 11}",Washington,35,13,Washington,Eastern Washington,7,3,192.13765975711698,24
5,"{'minutes': 3, 'seconds': 25}",Georgia Southern,41,2,Georgia Southern,New Mexico State,7,4,187.4884306781632,36
6,"{'minutes': 6, 'seconds': 29}",Washington,14,7,Washington,Eastern Washington,0,1,171.5806952139851,28
7,"{'minutes': 9, 'seconds': 28}",Oregon,23,4,Oregon,Utah,15,4,160.2469907171189,40
8,"{'minutes': 13, 'seconds': 29}",South Alabama,14,9,South Alabama,Georgia Southern,10,4,128.10982951339736,41
9,"{'minutes': 11, 'seconds': 55}",Oregon,49,4,USC,USC,17,4,125.38093451349134,59
10,"{'minutes': 14, 'seconds': 50}",USC,31,10,Arizona State,Arizona State,20,4,111.9867580868942,63
11,"{'minutes': 14, 'seconds': 49}",Eastern Michigan,17,6,Eastern Michigan,Ball State,14,3,94.36205844430862,38
12,"{'minutes': 15, 'seconds': 0}",California,17,10,California,Oregon State,14,4,87.64962638879783,40
13,"{'minutes': 11, 'seconds': 50}",Georgia,48,7,Georgia,Arkansas State,0,4,82.96182429271563,41
14,"{'minutes': 9, 'seconds': 56}",Kansas State,7,5,Kansas State,TCU,0,1,79.80837175635735,36
15,"{'minutes': 10, 'seconds': 58}",Washington State,6,9,Washington State,Stanford,0,1,76.61603688610305,34
16,"{'minutes': 15, 'seconds': 0}",Nevada,14,4,Nevada,New Mexico,10,4,73.384206336,47
17,"{'minutes': 15, 'seconds': 0}",Georgia State,28,11,Georgia State,Troy,14,3,71.53332899907898,32
18,"{'minutes': 12, 'seconds': 57}",Rice,24,7,UTEP,UTEP,16,4,70.73272544778406,56
19,"{'minutes': 7, 'seconds': 24}",Michigan State,27,26,Rutgers,Rutgers,0,4,68.39009990073289,64
20,"{'minutes': 14, 'seconds': 0}",Penn State,10,14,Iowa,Iowa,6,4,67.01185131196551,59
21,"{'minutes': 15, 'seconds': 0}",Tulane,51,16,Tulane,Missouri State,6,4,65.73721979159836,40
